,Artist,Area
601,Emilio Ambasz,9124.74
602,"Taniguchi & Associates, Yoshio Taniguchi",1209.6000000000001
603,"Skidmore Owings & Merrill, Gordon Bunshaft",10831.481194560001
604,Emilio Ambasz,1112.50453776
605,Bernard Tschumi Architects,1209.6000000000001
606,"Skidmore Owings & Merrill, Gordon Bunshaft",10831.481194560001
607,Emilio Ambasz,1159.27876476
608,Rafael Viñoly Architects,1209.6000000000001
609,"Skidmore Owings & Merrill, Gordon Bunshaft",10887.12643506
610,Emilio Ambasz,1295.5691640100001
611,Tod Williams Billie Tsien and Associates,1209.6000000000001
612,"Skidmore Owings & Merrill, Gordon Bunshaft",7629.45553104
613,Erik Gunnar Asplund,785.988522
614,Frank O. Gehry,698.4499999999999
615,Richard Meier,1439.52083826
616,Richard Meier,586.69428
617,Hans Hollein,435.08
618,Hans Hollein,771.12
619,Walter Pichler,2636.52692
620,Walter Pichler,1040.02
621,Walter Pichler,2103.75
622,Walter Pichler,2149.35
623,Ludwig Mies van der Rohe,11812.5
624,Ludwig Mies van der Rohe,10219.375277456962
625,Louis I. Kahn,1190.6399999999999
626,Louis I. Kahn,1583.6399999999999
627,"SITE (Sculpture in the Environment), James Wines",1537.92
628,"SITE (Sculpture in the Environment), James Wines",1537.92
629,"SITE (Sculpture in the Environment), James Wines",973.7099999999999
630,"SITE (Sculpture in the Environment), James Wines",3409.9
631,"SITE (Sculpture in the Environment), James Wines",4648.2
632,Frank Lloyd Wright,3973.92
633,John Hejduk,4973.4
634,John Hejduk,4964.19
635,John Hejduk,4973.4
636,Ludwig Mies van der Rohe,7724.15
637,Ludwig Mies van der Rohe,7724.15
638,Ludwig Mies van der Rohe,622.8199999999999
639,Ludwig Mies van der Rohe,622.8199999999999
640,Ludwig Mies van der Rohe,644.3561274219211
641,Ludwig Mies van der Rohe,622.8199999999999
642,Ludwig Mies van der Rohe,625.8000000000001
643,Ludwig Mies van der Rohe,625.8000000000001
644,Ludwig Mies van der Rohe,7724.15
645,Ludwig Mies van der Rohe,7724.15
646,Ludwig Mies van der Rohe,7724.15
647,Ludwig Mies van der Rohe,7724.15
648,Ludwig Mies van der Rohe,3243.86
649,Ludwig Mies van der Rohe,3243.86
650,Ludwig Mies van der Rohe,3243.86
651,Ludwig Mies van der Rohe,3248.3921570100006
652,Ludwig Mies van der Rohe,3248.3921570100006
653,Ludwig Mies van der Rohe,3248.3921570100006
654,Ludwig Mies van der Rohe,3243.86
655,Ludwig Mies van der Rohe,3248.3921570100006
656,Ludwig Mies van der Rohe,3248.3921570100006
657,Ludwig Mies van der Rohe,3248.3921570100006
658,Ludwig Mies van der Rohe,3248.3921570100006
659,Ludwig Mies van der Rohe,679.44
660,Ludwig Mies van der Rohe,5283.8809740199995
661,Ludwig Mies van der Rohe,256.53999999999996
662,Ludwig Mies van der Rohe,3248.3921570100006
663,Ludwig Mies van der Rohe,3248.3921570100006
664,Ludwig Mies van der Rohe,3248.3921570100006
665,Ludwig Mies van der Rohe,3243.86
666,Ludwig Mies van der Rohe,3248.3921570100006
667,Ludwig Mies van der Rohe,3248.3921570100006
668,Ludwig Mies van der Rohe,7741.95556004
